Child,Parent
722320,72232
72233,7223
722330,72233
7224,722
72241,7224
722410,72241
7225,722
72251,7225
722511,72251
722513,72251
722514,72251
722515,72251
81,1
811,81
8111,811
81111,8111
811111,81111
811112,81111
811113,81111
811118,81111
81112,8111
811121,81112
811122,81112
81119,8111
811191,81119
811192,81119
811198,81119
8112,811
81121,8112
811211,81121
811212,81121
811213,81121
811219,81121
8113,811
81131,8113
811310,81131
8114,811
81141,8114
811411,81141
811412,81141
81142,8114
811420,81142
81143,8114
811430,81143
81149,8114
811490,81149
812,81
8121,812
81211,8121
812111,81211
812112,81211
812113,81211
81219,8121
812191,81219
812199,81219
8122,812
81221,8122
812210,81221
81222,8122
812220,81222
8123,812
81231,8123
812310,81231
81232,8123
812320,81232
81233,8123
812331,81233
812332,81233
8129,812
81291,8129
812910,81291
81292,8129
812921,81292
812922,81292
81293,8129
812930,81293
81299,8129
812990,81299
813,81
8131,813
81311,8131
813110,81311
8132,813
81321,8132
813211,81321
813212,81321
813219,81321
8133,813
81331,8133
813311,81331
813312,81331
813319,81331
8134,813
81341,8134
813410,81341
8139,813
81391,8139
813910,81391
81392,8139
813920,81392
81393,8139
813930,81393
81394,8139
813940,81394
81399,8139
813990,81399
814,81
8141,814
81411,8141
814110,81411
92,1
921,92
9211,921
92111,9211
921110,92111
92112,9211
921120,92112
92113,9211
921130,92113
92114,9211
921140,92114
92115,9211
921150,92115
92119,9211
921190,92119
922,92
9221,922
92211,9221
922110,92211
92212,9221
922120,92212
92213,9221
922130,92213
92214,9221
922140,92214
92215,9221
922150,92215
92216,9221
922160,92216
92219,9221
922190,92219
923,92
9231,923
92311,9231
923110,92311
92312,9231
923120,92312
92313,9231
923130,92313
92314,9231
923140,92314
924,92
9241,924
92411,9241
924110,92411
92412,9241
924120,92412
925,92
9251,925
92511,9251
925110,92511
92512,9251
925120,92512
926,92
9261,926
92611,9261
926110,92611
92612,9261
926120,92612
92613,9261
926130,92613
92614,9261
926140,92614
92615,9261
926150,92615
927,92
9271,927
92711,9271
927110,92711
928,92
9281,928
92811,9281
928110,92811
92812,9281
928120,92812
